line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
R,Everyday / Almost everyday,Walk,Other,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Crime / Safety']",Waiting for signal change,False,Negative,Queens,Other,11377,in person,2019-01-07,15:54:00,1,Monday,15,False
R,"Weekdays, Mon - Fri",Walk,School,40 - 60 min,Not satisfied,Everyday,45 - 60 min,Take a bus,All the time,"['Delays', 'Overcrowded trains']",Weather,False,Negative,Queens,Other,11373,in person,2019-01-07,15:57:00,1,Monday,15,False
7,"More than once a week, varies",Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Negative,Queens,Flushing / Main Street,,in person,2019-01-07,15:59:00,1,Monday,15,False
7,"More than once a week, varies",Bus,Work,20 - 40 min,Highly unsatisfied,Everyday,45 - 60 min,Use another train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Signal malfunction,False,Positive,Queens,Flushing / Main Street,11355,in person,2019-01-07,16:03:00,1,Monday,16,False
1,Once a month,Bus,Other,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only at night,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Positive,Queens,Flushing / Main Street,,in person,2019-01-07,16:03:00,1,Monday,16,False
7,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Very satisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",No reason is given,False,Positive,Queens,Flushing / Main Street,,in person,2019-01-07,16:13:00,1,Monday,16,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,,10 - 20 min,Wait for next train,All the time,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,16:37:00,1,Monday,16,False
7,~5 days per week,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,16:43:00,1,Monday,16,False
E,Everyday / Almost everyday,Bus,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11369,in person,2019-01-07,16:46:00,1,Monday,16,False
E,Everyday / Almost everyday,Bus,Work,20 - 40 min,Somewhat satisfied,Everyday,20 - 45 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,True,Positive,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,16:48:00,1,Monday,16,False
E,Everyday / Almost everyday,,Work,40 - 60 min,Not satisfied,,,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Positive,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,16:53:00,1,Monday,16,False
F,"More than once a week, varies",Bus,Work,< 20 min,Somewhat satisfied,A few times a week,,Use another train,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,16:54:00,1,Monday,16,False
5,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Signal malfunction,True,Other / No thoughts,Queens,Jackson Heights / Roosevelt Ave,10466,in person,2019-01-07,16:55:00,1,Monday,16,False
1,Once a week,Walk,Work,20 - 40 min,Not satisfied,Everyday,20 - 45 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,Queens,Jackson Heights / Roosevelt Ave,11378,in person,2019-01-07,16:56:00,1,Monday,16,False
7,Everyday / Almost everyday,Walk,School,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,16:56:00,1,Monday,16,False
F,Everyday / Almost everyday,Bus,Work,60 - 90 min,Very satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,,,True,,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,16:56:00,1,Monday,16,False
E,~5 days per week,Walk,Other,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Train traffic,True,Positive,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,16:56:00,1,Monday,16,False
E,"Weekdays, Mon - Fri",Taxi,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Take a bus,All the time,"['Delays', 'Crime / Safety', 'Station infrastructure']",Train traffic,True,Neutral,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,17:00:00,1,Monday,17,False
E,Everyday / Almost everyday,Bus,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only at night,"['High fares', 'Customer service', 'Old trains']",Train traffic,True,Neutral,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:00:00,1,Monday,17,False
F,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,Everyday,5 - 10 min,Wait for next train,Only on weekends,['Overcrowded trains'],Train traffic,True,Positive,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,17:00:00,1,Monday,17,False
E,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,45 - 60 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Crime / Safety']",Waiting for signal change,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11373,in person,2019-01-07,17:01:00,1,Monday,17,False
F,Everyday / Almost everyday,Walk,School,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Neutral,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:03:00,1,Monday,17,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Somewhat satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,True,Negative,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,17:03:00,1,Monday,17,False
F,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,['Delays'],Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11435,in person,2019-01-07,17:04:00,1,Monday,17,False
7,Everyday / Almost everyday,Bus,Work,20 - 40 min,Somewhat satisfied,A few times a week,45 - 60 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:06:00,1,Monday,17,False
E,Everyday / Almost everyday,Bus,Work,< 20 min,Neutral,Almost never,10 - 20 min,Wait for next train,Only on weekends,"['Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:06:00,1,Monday,17,False
E,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,True,Positive,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:06:00,1,Monday,17,False
E,Everyday / Almost everyday,Bus,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Almost never,"['Delays', 'Customer service']",Waiting for signal change,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11434,in person,2019-01-07,17:08:00,1,Monday,17,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Neutral,Queens,Jackson Heights / Roosevelt Ave,11369,in person,2019-01-07,17:08:00,1,Monday,17,False
F,Everyday / Almost everyday,Bus,Work,20 - 40 min,Somewhat satisfied,A few times a week,20 - 45 min,For-hire vehicle,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:10:00,1,Monday,17,False
F,~5 days per week,Walk,Work,20 - 40 min,Neutral,A few times a week,20 - 45 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Sick passenger,True,Positive,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:10:00,1,Monday,17,False
7,"More than once a week, varies",Walk,Work,40 - 60 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Crime / Safety', 'Overcrowded trains']",Train traffic,True,Neutral,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:11:00,1,Monday,17,False
C,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Weather,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,17:12:00,1,Monday,17,False
E,Once a week,Walk,Other,< 20 min,Very satisfied,Almost never,5 - 10 min,Wait for next train,Almost never,,Waiting for signal change,True,Neutral,Queens,Jackson Heights / Roosevelt Ave,11375,in person,2019-01-07,17:13:00,1,Monday,17,False
7,Everyday / Almost everyday,Walk,School,< 20 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Almost never,"['Frequent route changes', 'Customer service', 'Overcrowded trains']",Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:13:00,1,Monday,17,False
E,Everyday / Almost everyday,Bus,Work,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,False,Unaware,Queens,Jackson Heights / Roosevelt Ave,11370,in person,2019-01-07,17:13:00,1,Monday,17,False
1,~5 days per week,Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Old trains']",Signal malfunction,True,Negative,Queens,Jackson Heights / Roosevelt Ave,10040,in person,2019-01-07,17:17:00,1,Monday,17,False
1,"More than once a week, varies",Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,False,Neutral,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:19:00,1,Monday,17,False
2,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Take a bus,Only on weekends,['Delays'],Signal malfunction,True,Negative,Queens,Jackson Heights / Roosevelt Ave,10462,in person,2019-01-07,17:20:00,1,Monday,17,False
E,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,,Wait for next train,Only on weekends,"['Frequent route changes', 'Old trains', 'Lack of handicap access']",Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:21:00,1,Monday,17,False
7,~5 days per week,Bus,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:21:00,1,Monday,17,False
7,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:22:00,1,Monday,17,False
F,~5 days per week,Walk,Other,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Walk,All the time,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:26:00,1,Monday,17,False
E,"Weekdays, Mon - Fri",Bus,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,Only at night,"['Frequent route changes', 'Old trains', 'Lack of handicap access']",Waiting for signal change,True,Negative,Queens,Jackson Heights / Roosevelt Ave,21202,in person,2019-01-07,17:29:00,1,Monday,17,False
E,"Weekdays, Mon - Fri",Bus,Work,40 - 60 min,Highly unsatisfied,A few times a week,,Use another train,Only on weekends,"['Delays', 'Overcrowded trains']",Train traffic,True,Unaware,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:29:00,1,Monday,17,False
7,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,Everyday,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Station infrastructure']",Signal malfunction,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11377,in person,2019-01-07,17:32:00,1,Monday,17,False
7,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,Only at night,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,False,Positive,Queens,Jackson Heights / Roosevelt Ave,11377,in person,2019-01-07,17:33:00,1,Monday,17,False
E,~5 days per week,Bus,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,['Delays'],Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11434,in person,2019-01-07,17:35:00,1,Monday,17,False
7,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Crime / Safety', 'Customer service']",Train traffic,True,Negative,Queens,Jackson Heights / Roosevelt Ave,11373,in person,2019-01-07,17:38:00,1,Monday,17,False
7,"More than once a week, varies",Walk,Other,40 - 60 min,Highly unsatisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Lack of handicap access']",Signal malfunction,True,Positive,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:39:00,1,Monday,17,False
7,Everyday / Almost everyday,Walk,Work,< 20 min,Very satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,['Delays'],Train traffic,True,Unaware,Queens,Jackson Heights / Roosevelt Ave,11377,in person,2019-01-07,17:40:00,1,Monday,17,False
E,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Station infrastructure']",Train traffic,False,Negative,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,17:41:00,1,Monday,17,False
E,Once a month,Bus,School,60 - 90 min,Very satisfied,Almost never,10 - 20 min,Take a bus,Only on weekends,"['Frequent route changes', 'High fares', 'Customer service']",Sick passenger,True,Unaware,Queens,Jackson Heights / Roosevelt Ave,11550,in person,2019-01-07,17:44:00,1,Monday,17,False
7,~5 days per week,Walk,Work,60 - 90 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Crime / Safety']",Train traffic,True,Neutral,Queens,Jackson Heights / Roosevelt Ave,11429,in person,2019-01-07,17:49:00,1,Monday,17,False
F,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Positive,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,17:52:00,1,Monday,17,False
E,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Unaware,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:54:00,1,Monday,17,False
E,Everyday / Almost everyday,Bus,School,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Neutral,Queens,Jackson Heights / Roosevelt Ave,11369,in person,2019-01-07,17:54:00,1,Monday,17,False
E,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Everyday,10 - 20 min,Use another train,Almost never,"['Delays', 'Crime / Safety']",Sick passenger,True,Positive,Queens,Jackson Heights / Roosevelt Ave,11372,in person,2019-01-07,17:56:00,1,Monday,17,False
E,Everyday / Almost everyday,Bus,Work,20 - 40 min,Somewhat satisfied,Everyday,20 - 45 min,Wait for next train,Only at night,"['Customer service', 'Old trains']",Train traffic,True,Other / No thoughts,Queens,Jackson Heights / Roosevelt Ave,,in person,2019-01-07,17:58:00,1,Monday,17,False
